alpha,discount_factor,epsilon,min_epsilon,decay,train_episodes,max_steps,batch_size,replay_buffer_size,target_update,result_folder,train_start,layer_struct,writer,Episodes till convergence,Average rewards last 100 episodes
5e-05,0.95,1,0.001,0.995,10000,500,64,16384,250,iterative_runs_fixed/without/run_0,1024,"[32, 32, 32, 16, 8]",,2396,478.79
5e-05,0.95,1,0.001,0.995,10000,500,64,16384,250,iterative_runs_fixed/without/run_1,1024,"[32, 32, 32]",,996,475.48
5e-05,0.95,1,0.001,0.995,10000,500,64,16384,300,iterative_runs_fixed/without/run_2,1024,"[32, 32, 32, 16, 8]",,542,475.21
5e-05,0.95,1,0.001,0.995,10000,500,64,16384,300,iterative_runs_fixed/without/run_3,1024,"[32, 32, 32]",,490,477.32
5e-05,0.95,1,0.001,0.95,10000,500,64,16384,250,iterative_runs_fixed/without/run_4,1024,"[32, 32, 32, 16, 8]",,6620,476.15
5e-05,0.95,1,0.001,0.95,10000,500,64,16384,250,iterative_runs_fixed/without/run_5,1024,"[32, 32, 32]",,3634,477.77
5e-05,0.95,1,0.001,0.95,10000,500,64,16384,300,iterative_runs_fixed/without/run_6,1024,"[32, 32, 32, 16, 8]",,5356,475.88
5e-05,0.95,1,0.001,0.95,10000,500,64,16384,300,iterative_runs_fixed/without/run_7,1024,"[32, 32, 32]",,1639,475.91
5e-05,0.95,1,0.001,0.995,10000,500,128,16384,250,iterative_runs_fixed/without/run_8,1024,"[32, 32, 32, 16, 8]",,514,475.34
5e-05,0.95,1,0.001,0.995,10000,500,128,16384,250,iterative_runs_fixed/without/run_9,1024,"[32, 32, 32]",,2349,475.3
5e-05,0.95,1,0.001,0.995,10000,500,128,16384,300,iterative_runs_fixed/without/run_10,1024,"[32, 32, 32, 16, 8]",,9999,194.84
5e-05,0.95,1,0.001,0.995,10000,500,128,16384,300,iterative_runs_fixed/without/run_11,1024,"[32, 32, 32]",,545,477.84
5e-05,0.95,1,0.001,0.95,10000,500,128,16384,250,iterative_runs_fixed/without/run_12,1024,"[32, 32, 32, 16, 8]",,3254,475.55
5e-05,0.95,1,0.001,0.95,10000,500,128,16384,250,iterative_runs_fixed/without/run_13,1024,"[32, 32, 32]",,836,476.2
5e-05,0.95,1,0.001,0.95,10000,500,128,16384,300,iterative_runs_fixed/without/run_14,1024,"[32, 32, 32, 16, 8]",,2916,475.3
5e-05,0.95,1,0.001,0.95,10000,500,128,16384,300,iterative_runs_fixed/without/run_15,1024,"[32, 32, 32]",,562,476.01
1e-05,0.95,1,0.001,0.995,10000,500,64,16384,250,iterative_runs_fixed/without/run_16,1024,"[32, 32, 32, 16, 8]",,9999,338.05
1e-05,0.95,1,0.001,0.995,10000,500,64,16384,250,iterative_runs_fixed/without/run_17,1024,"[32, 32, 32]",,9999,457.37
1e-05,0.95,1,0.001,0.995,10000,500,64,16384,300,iterative_runs_fixed/without/run_18,1024,"[32, 32, 32, 16, 8]",,9999,50.65
1e-05,0.95,1,0.001,0.995,10000,500,64,16384,300,iterative_runs_fixed/without/run_19,1024,"[32, 32, 32]",,4874,475.9
1e-05,0.95,1,0.001,0.95,10000,500,64,16384,250,iterative_runs_fixed/without/run_20,1024,"[32, 32, 32, 16, 8]",,4610,478.59
1e-05,0.95,1,0.001,0.95,10000,500,64,16384,250,iterative_runs_fixed/without/run_21,1024,"[32, 32, 32]",,9999,15.76
1e-05,0.95,1,0.001,0.95,10000,500,64,16384,300,iterative_runs_fixed/without/run_22,1024,"[32, 32, 32, 16, 8]",,4477,475.47
1e-05,0.95,1,0.001,0.95,10000,500,64,16384,300,iterative_runs_fixed/without/run_23,1024,"[32, 32, 32]",,5564,475.87
1e-05,0.95,1,0.001,0.995,10000,500,128,16384,250,iterative_runs_fixed/without/run_24,1024,"[32, 32, 32, 16, 8]",,4273,476.86
1e-05,0.95,1,0.001,0.995,10000,500,128,16384,250,iterative_runs_fixed/without/run_25,1024,"[32, 32, 32]",,4086,476.26
1e-05,0.95,1,0.001,0.995,10000,500,128,16384,300,iterative_runs_fixed/without/run_26,1024,"[32, 32, 32, 16, 8]",,2884,476.73
1e-05,0.95,1,0.001,0.995,10000,500,128,16384,300,iterative_runs_fixed/without/run_27,1024,"[32, 32, 32]",,5451,475.11
1e-05,0.95,1,0.001,0.95,10000,500,128,16384,250,iterative_runs_fixed/without/run_28,1024,"[32, 32, 32, 16, 8]",,3556,475.65
1e-05,0.95,1,0.001,0.95,10000,500,128,16384,250,iterative_runs_fixed/without/run_29,1024,"[32, 32, 32]",,4544,476.47
1e-05,0.95,1,0.001,0.95,10000,500,128,16384,300,iterative_runs_fixed/without/run_30,1024,"[32, 32, 32, 16, 8]",,6200,475.11
1e-05,0.95,1,0.001,0.95,10000,500,128,16384,300,iterative_runs_fixed/without/run_31,1024,"[32, 32, 32]",,9999,261.32
